BEARING MARK,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10
B81-P09-BER-01,470,570,20,25.217,30.917,25.7,30.917,32,NO
B81-P09-BER-02,470,570,20,26.6082,32.3082,25.7,32.3082,36,NO
B81-P09-BER-03,470,570,20,27.708,33.408,25.7,33.408,36,NO
B81-P35-BER-08,470,700,27.4213,20,27,34.4213,34.4213,36,NO
B81-P09-BER-04,470,570,20,28.8266,35.9516,27.125,35.9516,36,NO
B81-P35-BER-09,470,700,36.5207,30.5,20,26.0207,36.5207,40,NO
B81-P09-BER-05,470,570,20,29.6726,36.7976,27.125,36.7976,40,NO
B81-P09-BER-06,470,570,20,30.7865,37.0565,26.27,37.0565,40,NO
B81-P09-BER-07,470,570,20,31.8957,38.1657,26.27,38.1657,40,NO
B81-P08-BER-01,470,570,20,21.0857,38.1857,37.1,38.1857,40,NO
B81-P08-BER-02,470,570,20,21.457,38.557,37.1,38.557,40,NO
B81-P08-BER-03,470,570,20,21.457,38.557,37.1,38.557,40,NO
B81-P08-BER-04,470,570,20,21.457,38.557,37.1,38.557,40,NO
B81-P08-BER-11,470,570,20,21.6074,38.7074,37.1,38.7074,40,NO
B81-P08-BER-12,470,570,20,21.6168,38.7168,37.1,38.7168,40,NO
B81-P09-BER-08,470,570,20,33.0237,38.7237,25.7,38.7237,40,NO
B81-P08-BER-13,470,570,20,21.6262,38.7262,37.1,38.7262,40,NO
B81-P32-BER-14,470,570,33.16,20,25.7,38.86,38.86,40,NO
B81-P08-BER-10,470,570,20,21.8659,38.9659,37.1,38.9659,40,NO
B81-P08-BER-09,470,570,20,22.0069,39.1069,37.1,39.1069,40,NO
B81-P10-BER-10,470,570,20,33.4138,39.1138,25.7,39.1138,40,NO
B81-P08-BER-17,470,570,20,22.0163,39.1163,37.1,39.1163,40,NO
B81-P08-BER-16,470,570,20,22.0257,39.1257,37.1,39.1257,40,NO
B81-P08-BER-15,470,570,20,22.0304,39.1304,37.1,39.1304,40,NO
B81-P08-BER-14,470,570,20,22.0351,39.1351,37.1,39.1351,40,NO
B81-P08-BER-06,470,570,20,22.3453,39.4453,37.1,39.4453,40,NO
B81-P35-BER-07,470,700,29.4846,20,29.975,39.4596,39.4596,40,NO
B81-P08-BER-05,470,570,20,22.3641,39.4641,37.1,39.4641,40,NO
