BEARING MARK,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,T1 MOD,T2MOD,T3MOD,T4MOD
B81-P09-BER-01,470,570,20,26,32,26,32,32,12,6,0,6
B81-P09-BER-02,470,570,20,27,33,26,33,36,16,9,3,10
B81-P35-BER-08,470,700,27,20,27,34,34,36,9,16,9,2
B81-P09-BER-03,470,570,20,28,34,26,34,36,16,8,2,10
B81-P09-BER-04,470,570,20,29,35,27,35,36,16,7,1,9
B81-P09-BER-05,470,570,20,30,36,26,36,36,16,6,0,10
B81-P09-BER-06,470,570,20,31,37,26,37,40,20,9,3,14
B81-P35-BER-09,470,700,38,31,20,27,38,40,2,9,20,13
B81-P09-BER-07,470,570,20,32,38,26,38,40,20,8,2,14
B81-P26-BER-01,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-02,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-03,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-04,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-05,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-06,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-07,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-08,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-09,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-10,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-11,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-12,340,570,39,37,20,22,39,40,1,3,20,18
B81-P26-BER-13,340,570,39,37,20,22,39,40,1,3,20,18
B81-P23-BER-01,340,570,37,39,22,20,39,40,3,1,18,20
B81-P23-BER-02,340,570,37,39,22,20,39,40,3,1,18,20
B81-P23-BER-03,340,570,37,39,22,20,39,40,3,1,18,20
B81-P23-BER-11,340,570,37,39,22,20,39,40,3,1,18,20
B81-P23-BER-12,340,570,37,39,22,20,39,40,3,1,18,20
B81-P23-BER-13,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-01,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-02,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-03,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-11,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-12,340,570,37,39,22,20,39,40,3,1,18,20
B81-P20-BER-13,340,570,37,39,22,20,39,40,3,1,18,20
