BEARING MARK,M,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE,M10,Check,M Is greater than 0,Checks,,,,
B81-P09-BER-01,20,470,570,20,25.22,30.92,25.7,30.92,32,YES,TRUE,TRUE,TRUE,12,6.78,1.08,6.3
B81-P09-BER-02,20,470,570,20,26.61,32.31,25.7,32.31,36,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-03,20,470,570,20,27.71,33.41,25.7,33.41,36,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-08,20,470,700,27.42,20,27,34.42,34.42,36,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-04,20,470,570,20,28.83,35.95,27.13,35.95,36,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-09,-20,470,700,36.52,30.5,20,26.02,36.52,40,YES,FALSE,FALSE,TRUE,,,,
B81-P09-BER-05,20,470,570,20,29.67,36.8,27.13,36.8,40,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-06,20,470,570,20,30.79,37.06,26.27,37.06,40,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-07,20,470,570,20,31.9,38.17,26.27,38.17,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-01,20,470,570,20,21.09,38.19,37.1,38.19,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-02,20,470,570,20,21.46,38.56,37.1,38.56,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-03,20,470,570,20,21.46,38.56,37.1,38.56,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-04,20,470,570,20,21.46,38.56,37.1,38.56,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-11,20,470,570,20,21.61,38.71,37.1,38.71,40,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-08,20,470,570,20,33.02,38.72,25.7,38.72,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-12,20,470,570,20,21.62,38.72,37.1,38.72,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-13,20,470,570,20,21.63,38.73,37.1,38.73,40,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-14,20,470,570,33.16,20,25.7,38.86,38.86,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-10,20,470,570,20,21.87,38.97,37.1,38.97,40,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-10,20,470,570,20,33.41,39.11,25.7,39.11,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-09,20,470,570,20,22.01,39.11,37.1,39.11,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-17,20,470,570,20,22.02,39.12,37.1,39.12,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-15,20,470,570,20,22.03,39.13,37.1,39.13,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-16,20,470,570,20,22.03,39.13,37.1,39.13,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-14,20,470,570,20,22.04,39.14,37.1,39.14,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-06,20,470,570,20,22.35,39.45,37.1,39.45,40,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-07,20,470,700,29.48,20,29.98,39.46,39.46,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-05,20,470,570,20,22.36,39.46,37.1,39.46,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-07,20,470,570,20,22.36,39.46,37.1,39.46,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-08,20,470,570,20,22.36,39.46,37.1,39.46,40,YES,TRUE,TRUE,TRUE,,,,
B81-P08-BER-18,20,470,570,20,22.38,39.48,37.1,39.48,40,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-11,20,470,570,20,34.1,39.8,25.7,39.8,40,YES,TRUE,TRUE,TRUE,,,,
B81-P09-BER-09,20,470,570,20,33.75,40.02,26.27,40.02,45,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-08,20,470,570,34.51,20,25.7,40.21,40.21,45,YES,TRUE,TRUE,TRUE,,,,
B81-P32-BER-15,20,470,570,34.73,20,25.7,40.43,40.43,45,YES,TRUE,TRUE,TRUE,,,,
B81-P10-BER-12,20,470,570,20,35.2,40.9,25.7,40.9,45,YES,TRUE,TRUE,TRUE,,,,
B81-P34-BER-09,-20,470,570,41.4,28.55,20,32.85,41.4,45,YES,FALSE,FALSE,TRUE,,,,
B81-P32-BER-16,20,470,570,35.93,20,25.7,41.63,41.63,45,YES,TRUE,TRUE,TRUE,,,,
B81-P07-BER-18,20,470,570,24.96,20,37.1,42.06,42.06,45,YES,TRUE,TRUE,TRUE,,,,
B81-P35-BER-06,20,470,700,30.81,20,31.46,42.27,42.27,45,YES,TRUE,TRUE,TRUE,,,,
