BEARING MARK,DIM A,DIM B,T1,T2,T3,T4,MAX,PROFILE
B81-P09-BER-01,470,570,20,26,32,26,32,32
B81-P09-BER-02,470,570,20,27,33,26,33,36
B80-A02-BES-01,350,1000,20,33,33,20,33,36
B81-P35-BER-08,470,700,27,20,27,34,34,36
B81-P09-BER-03,470,570,20,28,34,26,34,36
B81-P09-BER-04,470,570,20,29,35,27,35,36
B81-P09-BER-05,470,570,20,30,36,26,36,36
B80-P44-BES-02,350,1000,20,36,36,20,36,36
B81-P09-BER-06,470,570,20,31,37,26,37,40
B81-P35-BER-09,470,700,38,31,20,27,38,40
B81-P09-BER-07,470,570,20,32,38,26,38,40
B80-A02-BES-02,350,1000,20,38,38,20,38,40
B80-P43-BES-01,350,1000,20,38,38,20,38,40
B81-P26-BER-01,340,570,39,37,20,22,39,40
B81-P26-BER-02,340,570,39,37,20,22,39,40
B81-P26-BER-03,340,570,39,37,20,22,39,40
B81-P26-BER-04,340,570,39,37,20,22,39,40
B81-P26-BER-05,340,570,39,37,20,22,39,40
B81-P26-BER-06,340,570,39,37,20,22,39,40
B81-P26-BER-07,340,570,39,37,20,22,39,40
B81-P26-BER-08,340,570,39,37,20,22,39,40
B81-P26-BER-09,340,570,39,37,20,22,39,40
B81-P26-BER-10,340,570,39,37,20,22,39,40
B81-P26-BER-11,340,570,39,37,20,22,39,40
B81-P26-BER-12,340,570,39,37,20,22,39,40
B81-P26-BER-13,340,570,39,37,20,22,39,40
B81-P23-BER-01,340,570,37,39,22,20,39,40
B81-P23-BER-02,340,570,37,39,22,20,39,40
B81-P23-BER-03,340,570,37,39,22,20,39,40
B81-P23-BER-11,340,570,37,39,22,20,39,40
B81-P23-BER-12,340,570,37,39,22,20,39,40
B81-P23-BER-13,340,570,37,39,22,20,39,40
B81-P20-BER-01,340,570,37,39,22,20,39,40
B81-P20-BER-02,340,570,37,39,22,20,39,40
B81-P20-BER-03,340,570,37,39,22,20,39,40
B81-P20-BER-11,340,570,37,39,22,20,39,40
B81-P20-BER-12,340,570,37,39,22,20,39,40
B81-P20-BER-13,340,570,37,39,22,20,39,40
B81-P17-BER-01,340,570,37,39,22,20,39,40
B81-P17-BER-02,340,570,37,39,22,20,39,40
B81-P17-BER-03,340,570,37,39,22,20,39,40
B81-P17-BER-11,340,570,37,39,22,20,39,40
B81-P17-BER-12,340,570,37,39,22,20,39,40
B81-P17-BER-13,340,570,37,39,22,20,39,40
B81-P09-BER-08,470,570,20,33,39,26,39,40
B81-P08-BER-01,470,570,20,22,39,37,39,40
B81-P08-BER-02,470,570,20,22,39,37,39,40
B81-P08-BER-03,470,570,20,22,39,37,39,40
B81-P08-BER-04,470,570,20,22,39,37,39,40
B81-P08-BER-05,470,570,20,22,39,37,39,40
B81-P08-BER-06,470,570,20,22,39,37,39,40
B81-P08-BER-07,470,570,20,22,39,37,39,40
B81-P08-BER-08,470,570,20,22,39,37,39,40
B81-P08-BER-09,470,570,20,22,39,37,39,40
B81-P08-BER-10,470,570,20,22,39,37,39,40
B81-P08-BER-11,470,570,20,22,39,37,39,40
B81-P08-BER-12,470,570,20,22,39,37,39,40
B81-P08-BER-13,470,570,20,22,39,37,39,40
B81-P08-BER-14,470,570,20,22,39,37,39,40
B81-P08-BER-15,470,570,20,22,39,37,39,40
B81-P08-BER-16,470,570,20,22,39,37,39,40
B81-P08-BER-17,470,570,20,22,39,37,39,40
